"name","full_name","index","created_at","last_modified_at","department_id"
"СтПЦ-1","Сталепроволочный цех №1",14,"2021-10-31","2021-10-31",1
"ЭнЦ","Энегретический цех",10,"2021-10-31","2021-10-31",1
"СПЦ"","Сортопрокатный цех",9,"2021-10-31","2021-10-31",2
