"id","name","COMMENT"
1,"DOC_READ","doc read"
2,"DOC_DESIGN","doc designer"
3,"DOC_VERIF","doc verifier"
4,"DOC_NK","doc norm contr"
5,"DOC_DELETE","doc norm contr"
6,"PRJ_DESIGN","project design"
7,"PRJ_VERIF","project verifier"
8,"PRJ_NK","project norm contr"
9,"PRJ_AGREE","project design"
10,"PRJ_APPROVE","project agree"
11,"PRJ_DELETE","project approve"
12,"ENGINEER_READ","person read"
13,"ENGINEER_WRITE","person edit"
14,"ENGINEER_DELETE","person delete"
